department,internal_id,last_sold,name,price,properties,quantity,tags,upc
LIQUOR,,2019-12-31 00:00:00,Jura 10yr Jura,64.19,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,high_margin,087647081425
LIQUOR,,2020-03-05 00:00:00,Dalmore 12 Years 750ml Scotch,70.84,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087647111672
BEER,,2019-06-22 00:00:00,Samuel Adams White Christ 12pk 12oz Domestic,18.08,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692000372
BEER,,2019-08-02 00:00:00,Samuel Adams Boston Lager 12pk 12oz Domestic,18.08,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692001058
BEER,,2019-08-10 00:00:00,Samuel Adams Seasonal 12pk 12oz Domestic,18.08,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692001096
BEER,,2019-07-21 00:00:00,Samuel Adams Rebel IPA 6pk 12oz Domestic,11.22,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692001270
BEER,,2019-08-04 00:00:00,Samuel Adams Rebel IPA 12pk 12oz Domestic,18.08,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692001744
BEER,,2019-08-09 00:00:00,Samuel Adams Sam 76 6pk 12oz Domestic,11.22,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692004929
BEER,,2019-04-16 00:00:00,Truly Wild Berry 6pk 12oz Seltzer,10.89,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692006787
BEER,,2019-08-02 00:00:00,Samuel Admas NE IPA 4pk 16oz Domestic,11.98,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692006992
BEER,,2019-07-26 00:00:00,Samuel Adams NE Pale Ale 4pk 16oz Domestic,11.98,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692008064
BEER,,2019-08-04 00:00:00,Samuel Adams Boston Lager 6pk 12oz Domestic,11.22,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692100126
BEER,,2019-07-20 00:00:00,Samuel Adams Light 6pk 12oz Domestic,11.22,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692111023
BEER,,2019-06-20 00:00:00,Samuel Adams Light 12pk 12oz Domestic,18.08,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692111030
BEER,,2019-08-10 00:00:00,Samuel Adams Boston Ale 6pk 12oz Domestic,11.22,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692300304
BEER,,2019-08-10 00:00:00,Samuel Adams Seasonal 6pk 12oz Domestic,11.22,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692300502
BEER,,2019-04-19 00:00:00,Twisted Tea Half & Half 6pk 12oz Domestic,10.56,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",1.00000000,low_margin,087692751021
BEER,,2019-04-20 00:00:00,Twisted Tea Half & Half Single 24oz Malt,3.16,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",1.00000000,high_margin,087692752318
BEER,,2019-03-04 00:00:00,Angry Orchard Crisp Apple 6pk 12oz Cider,10.89,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,087692821021
BEER,,2019-04-20 00:00:00,Twisted Tea 6pk 12oz Domestic,10.56,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",1.00000000,low_margin,087692831020
BEER,,2019-04-19 00:00:00,Twisted Tea 12pk 12oz Domestic,16.78,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",1.00000000,low_margin,087692831341
